xtime(milli),GSR,Volt
1014.68,464,464
1016.12,465,464
1017.57,464,464
1019.01,465,464
1020.46,465,464
1021.90,464,464
1023.35,465,464
1024.79,465,464
1026.24,464,464
1027.68,464,464
1029.14,464,465
1030.57,464,464
1032.02,465,464
1033.46,464,464
1034.91,464,465
1036.35,465,464
1037.80,464,464
1039.24,465,464
1040.69,464,465
1042.13,464,464
1043.58,464,464
1045.02,464,465
1046.47,464,464
1047.91,465,464
1049.36,464,464
1050.80,464,464
1052.25,465,465
1053.69,464,464
1055.14,465,464
1056.58,464,464
1058.03,465,464
1059.47,464,464
1060.92,464,464
1062.36,465,464
1063.81,464,464
1065.25,465,465
1066.70,464,464
1068.14,464,464
1069.59,465,464
1071.03,464,464
1072.48,465,464
1073.92,465,465
1075.37,464,465
1076.81,464,464
1078.26,464,465
1079.70,464,464
1081.15,464,464
1082.59,465,464
1084.04,464,464
1085.48,465,465
1086.93,464,464
1088.37,465,464
1089.82,465,465
1091.26,464,465
1092.71,464,464
1094.15,465,465
1095.60,465,465
1097.04,464,464
1098.49,464,465
1099.93,465,464
1101.38,464,465
1102.82,464,465
1104.27,465,465
1105.71,464,464
1107.16,465,464
1108.60,465,464
1110.05,464,465
1111.49,465,464
1112.94,464,465
1114.38,464,465
1115.83,464,465
1117.27,465,465
1118.72,464,465
1120.16,464,464
1121.61,464,465
1123.05,464,464
1124.50,465,465
1125.94,464,464
1127.39,465,464
1128.83,464,464
1130.28,464,464
1131.72,464,464
1133.17,464,464
1134.61,465,464
1136.06,465,464
1137.50,465,464
1138.95,464,465
1140.39,464,465
1141.84,464,464
1143.28,464,465
1144.73,464,465
1146.17,465,464
1147.62,464,464
1149.06,464,465
1150.51,464,464
1151.95,464,465
1153.40,464,464
1154.84,464,465
1156.29,464,464
1157.73,464,465
1159.18,464,464
1160.62,464,464
1162.07,464,464
1163.51,465,464
1164.96,464,464
1166.40,464,464
1167.85,464,464
1169.29,464,464
1170.74,464,464
1172.18,464,465
1173.63,464,464
1175.07,464,464
1176.52,464,464
1177.96,464,464
1179.41,464,464
1180.85,465,464
1182.30,464,465
1183.75,464,465
1185.19,464,464
1186.63,465,465
1188.08,465,465
1189.52,465,465
1190.97,464,465
1192.41,465,465
1193.86,464,464
1195.30,464,465
1196.75,464,464
1198.19,464,465
1199.64,465,464
1201.08,464,465
1202.53,465,465
1203.97,464,465
1205.42,464,465
1206.86,464,465
1208.31,465,464
1209.75,464,465
1211.20,465,464
1212.64,465,464
1214.09,464,465
1215.53,465,464
1216.98,465,464
1218.42,464,465
1219.87,464,464
1221.31,465,464
1222.76,464,464
1224.20,464,464
1225.65,465,465
1227.09,464,464
1228.54,465,464
1229.98,464,464
1231.43,465,464
1232.87,464,464
1234.32,464,464
1235.76,464,464
1237.21,464,464
1238.65,465,464
1240.10,464,464
1241.54,464,464
1242.99,465,464
1244.43,465,464
1245.88,464,464
1247.32,464,464
1248.77,464,464
1250.21,464,465
1251.66,464,464
1253.10,465,464
1254.55,464,464
1255.99,464,464
1257.44,464,464
1258.88,464,464
1260.33,465,465
1261.77,465,465
1263.22,464,465
1264.66,464,465
1266.11,465,465
1267.55,465,464
1269.00,464,465
1270.44,465,464
1271.89,464,464
1273.33,464,464
1274.78,465,464
1276.22,464,465
1277.67,465,464
1279.11,464,465
1280.56,464,464
1282.00,465,464
1283.45,465,465
1284.89,464,465
1286.34,465,464
1287.78,464,464
1289.24,464,464
1290.67,464,465
1292.12,464,464
1293.56,465,464
1295.01,464,464
1296.45,464,464
1297.90,465,465
1299.34,464,464
1300.79,464,464
1302.23,466,464
1303.68,465,465
1305.12,464,464
1306.57,464,464
1308.01,464,465
1309.46,465,464
1310.90,464,465
1312.35,464,464
1313.80,465,464
1315.24,464,465
1316.68,464,464
1318.13,464,464
1319.57,465,465
1321.02,465,464
1322.46,464,465
1323.91,465,464
1325.35,464,464
1326.80,465,464
1328.24,465,464
1329.69,464,465
1331.13,464,465
1332.58,464,465
1334.02,464,465
1335.47,464,464
1336.91,464,464
1338.36,465,465
1339.80,465,465
1341.25,464,464
1342.69,465,464
1344.14,464,464
1345.58,464,464
1347.03,464,465
1348.47,464,465
1349.92,464,465
1351.36,465,464
1352.81,464,464
1354.25,464,464
1355.70,465,464
1357.14,464,465
1358.59,465,465
1360.03,464,464
1361.48,465,464
1362.92,465,464
1364.37,465,465
1365.81,464,465
1367.26,464,464
1368.70,465,464
1370.15,464,465
1371.59,464,465
1373.04,465,465
1374.48,465,465
1375.93,464,464
1377.37,464,464
1378.82,465,465
1380.26,464,464
1381.71,465,464
1383.15,464,464
1384.60,464,464
1386.04,465,464
1387.49,465,464
1388.93,465,465
1390.38,464,465
1391.82,465,464
1393.27,465,465
1394.71,465,465
1396.16,465,464
1397.60,464,465
1399.05,464,465
1400.49,465,464
1401.94,465,465
1403.38,464,465
1404.83,465,464
1406.27,465,464
1407.72,464,465
1409.16,465,465
1410.61,465,465
1412.05,465,465
1413.50,464,465
1414.94,465,465
1416.39,465,464
1417.83,464,465
1419.28,465,464
1420.72,464,464
1422.17,465,464
1423.61,465,465
1425.06,464,464
1426.50,464,464
1427.95,465,464
1429.39,464,465
1430.84,465,464
1432.28,465,464
1433.73,465,465
1435.17,464,465
1436.62,464,465
1438.06,464,465
1439.51,464,465
1440.95,465,465
1442.40,465,464
1443.85,464,465
1445.29,465,464
1446.73,464,465
1448.18,465,464
1449.62,464,465
1451.07,465,464
1452.51,464,464
1453.96,465,464
1455.40,465,465
1456.85,464,465
1458.29,464,464
1459.74,465,464
1461.18,465,464
1462.63,464,465
1464.07,464,464
1465.52,465,464
1466.96,464,464
1468.41,464,465
1469.85,464,464
1471.30,464,465
1472.74,465,464
1474.19,464,464
1475.63,464,465
1477.08,464,464
1478.52,464,464
1479.97,464,464
1481.41,464,465
1482.86,465,464
1484.30,464,464
1485.75,464,464
1487.19,465,465
1488.64,465,464
1490.08,465,465
1491.53,464,464
1492.97,464,464
1494.42,465,464
1495.86,464,464
1497.31,464,464
1498.75,465,465
1500.20,464,465
1501.64,464,464
1503.09,465,465
1504.53,465,464
1505.98,464,464
1507.42,464,464
1508.87,464,464
1510.31,465,464
1511.76,464,464
1513.20,464,464
1514.65,465,465
1516.09,465,465
1517.54,464,464
1518.98,464,465
1520.43,465,464
1521.87,465,464
1523.32,464,465
1524.76,465,465
1526.21,464,465
1527.65,464,465
1529.10,464,464
1530.54,464,464
1531.99,465,464
1533.43,465,465
1534.88,464,464
1536.32,465,464
1537.77,464,464
1539.21,464,465
1540.66,464,464
1542.10,464,464
1543.55,464,465
1544.99,464,464
1546.44,464,464
1547.88,465,464
1549.33,464,465
1550.77,464,464
1552.22,465,464
1553.66,464,464
1555.11,464,464
1556.55,464,465
1558.00,464,464
1559.44,464,465
1560.89,464,464
